ฟิลิปปินส์,งานแสดงสินค้า/นิทรรศการ,"1,654",660,"1,589","2,856","2,172",425,998,"1,505","2,359",233,
ฟิลิปปินส์,การศึกษา, - , - , - , - , - ,"4,145","5,029","4,633","5,411",731,
ฟิลิปปินส์,การจ้างแรงงาน, - , - , - , - , - ,"11,660","13,656", - , - , - ,
ฟิลิปปินส์,การขนส่ง, - , - , - , - , - ,"7,269","9,102","6,994", - , - ,
ฟิลิปปินส์,การกีฬา, - , - , - , - , - , - , - ,"2,226","8,091",964,
ฟิลิปปินส์,ทางการแพทย์, - , - , - , - , - , - , - ,844,"1,042",208,
ฟิลิปปินส์,อื่น ๆ,"19,562","43,573","54,719","44,931","49,390","16,065","23,698","26,072","47,457","4,184",
สิงคโปร์,รวม,"789,339","994,631","1,067,286","960,464","1,074,755","1,163,309","1,259,523","1,168,112","1,150,024","132,511",
สิงคโปร์,ท่องเที่ยว,"361,198","839,540","902,816","811,424","896,943","1,007,150","1,078,367","1,030,771","978,745","118,753",
สิงคโปร์,ธุรกิจ, - , - , - , - , - ,"87,586","91,387","61,771","76,410","6,783",
สิงคโปร์,ประชุมของหน่วยงาน,"186,174","25,688","29,544","27,347","40,376","33,541","40,557","28,827","43,494","3,236",
สิงคโปร์,ประชุมเชิงธุรกิจ,"114,092",624,"1,337","1,551","1,311",364,"5,539","3,524","2,978",77,
สิงคโปร์,ประชุมของสมาคม,"63,562","3,353","3,120","2,134","3,637","2,860","4,109","4,227","4,144",248,
สิงคโปร์,งานแสดงสินค้า/นิทรรศการ,"1,228","1,401","1,601","1,492","2,529","1,178","2,169","2,150","3,052",431,
สิงคโปร์,การศึกษา, - , - , - , - , - ,"4,969","6,915","6,397","7,688",336,
สิงคโปร์,การจ้างแรงงาน, - , - , - , - , - ,"5,989","6,970", - , - , - ,
สิงคโปร์,การขนส่ง, - , - , - , - , - ,"4,917","6,496","7,001", - , - ,
สิงคโปร์,การกีฬา, - , - , - , - , - , - , - ,"6,265","14,929",857,
สิงคโปร์,ทางการแพทย์, - , - , - , - , - , - , - ,"1,831","1,413",206,
สิงคโปร์,อื่น ๆ,"63,085","124,025","128,868","116,516","129,959","14,755","17,014","15,348","17,171","1,584",
เวียดนาม,รวม,"514,801","637,347","740,688","573,184","767,643","863,807","985,695","1,053,723","1,080,609","131,308",
เวียดนาม,ท่องเที่ยว,"257,798","476,525","545,218","405,067","621,538","793,811","900,572","942,974","952,993","120,801",
เวียดนาม,ธุรกิจ, - , - , - , - , - ,"26,814","30,855","41,057","32,948","3,247",
เวียดนาม,ประชุมของหน่วยงาน,"76,703","39,676","49,187","38,195","37,844","15,614","16,831","16,404","19,920","1,927",
เวียดนาม,ประชุมเชิงธุรกิจ,"89,166",667,"1,954","1,516","1,393",535,"1,437","2,076","2,535",120,
เวียดนาม,ประชุมของสมาคม,"49,720","4,517","6,176","5,332","4,749","2,044","2,246","2,943","3,922",189,
เวียดนาม,งานแสดงสินค้า/นิทรรศการ,"1,336","1,961","3,765","3,156","3,845","1,262","2,499","3,378","3,255",294,
เวียดนาม,การศึกษา, - , - , - , - , - ,"5,812","8,012","8,986","16,198","1,219",
เวียดนาม,การจ้างแรงงาน, - , - , - , - , - ,"1,512","2,156", - , - , - ,
เวียดนาม,การขนส่ง, - , - , - , - , - ,"6,359","7,238","11,953", - , - ,
เวียดนาม,การกีฬา, - , - , - , - , - , - , - ,"3,940","15,074","1,363",
เวียดนาม,ทางการแพทย์, - , - , - , - , - , - , - ,"1,728","4,991",574,
เวียดนาม,อื่น ๆ,"40,078","114,001","134,388","119,918","98,274","10,044","13,849","18,284","28,773","1,574",
จีน,รวม,"1,704,800","2,761,213","4,609,717","4,631,981","7,981,407","8,821,148","9,846,818","10,625,167","11,138,658","1,302,137",
จีน,ท่องเที่ยว,"763,107","2,458,810","4,213,589","4,123,898","7,444,928","8,551,358","9,542,946","10,025,429","10,580,301","1,235,006",
จีน,ธุรกิจ, - , - , - , - , - ,"91,775","96,199","170,136","126,682","12,521",
จีน,ประชุมของหน่วยงาน,"263,575","65,610","83,927","98,695","117,473","36,649","47,530","68,397","67,637","6,161",
จีน,ประชุมเชิงธุรกิจ,"243,690","13,896","26,333","20,827","30,198","15,636","22,889","31,594","33,814","2,374",
จีน,ประชุมของสมาคม,"308,676","4,927","7,012","8,878","10,513","3,405","7,025","15,403","16,812","1,957",
จีน,งานแสดงสินค้า/นิทรรศการ,"2,554","5,245","8,803","9,312","12,707","4,658","10,879","29,969","28,057","2,458",
จีน,การศึกษา, - , - , - , - , - ,"32,951","33,660","50,604","60,045","11,686",
จีน,การจ้างแรงงาน, - , - , - , - , - ,"18,382","23,467", - , - , - ,
จีน,การขนส่ง, - , - , - , - , - ,"27,326","21,305","68,355", - , - ,
จีน,การกีฬา, - , - , - , - , - , - , - ,"43,747","84,926","14,170",
จีน,ทางการแพทย์, - , - , - , - , - , - , - ,"15,715","20,097","3,671",
จีน,อื่น ๆ,"123,198","212,725","270,053","370,371","365,588","39,008","40,918","105,818","120,287","12,133",
ฮ่องกง,รวม,"531,192","604,900","694,084","559,284","708,435","690,465","798,460","1,047,559","1,090,121","131,988",
ฮ่องกง,ท่องเที่ยว,"273,759","546,280","620,804","506,768","651,395","653,004","742,256","961,564","1,011,980","125,696",
ฮ่องกง,ธุรกิจ, - , - , - , - , - ,"21,181","24,787","31,090","26,576","2,703",
ฮ่องกง,ประชุมของหน่วยงาน,"81,964","11,175","12,820","9,184","11,868","7,115","9,742","11,119","12,875","1,145",
ฮ่องกง,ประชุมเชิงธุรกิจ,"93,287",322,"1,178",988,763,462,"1,706","2,135","1,702",43,
ฮ่องกง,ประชุมของสมาคม,"44,796","1,310","1,632",672,"1,376",760,"2,177","3,341","2,866",85,
ฮ่องกง,งานแสดงสินค้า/นิทรรศการ,571,669,"1,116",654,951,375,"1,998","3,156","1,261",218,
ฮ่องกง,การศึกษา, - , - , - , - , - ,"1,263","2,475","4,726","3,143",251,
ฮ่องกง,การจ้างแรงงาน, - , - , - , - , - ,709,"1,217", - , - , - ,
ฮ่องกง,การขนส่ง, - , - , - , - , - ,"2,737","3,284","7,333", - , - ,
ฮ่องกง,การกีฬา, - , - , - , - , - , - , - ,"9,369","18,307","1,175",
ฮ่องกง,ทางการแพทย์, - , - , - , - , - , - , - ,"2,062","1,415",138,
ฮ่องกง,อื่น ๆ,"36,815","45,144","56,534","41,018","42,082","2,859","8,818","11,664","9,996",534,
ญี่ปุ่น,รวม,"1,103,073","1,341,063","1,515,718","1,254,858","1,349,388","1,416,903","1,525,707","1,642,712","1,787,185","314,044",
ญี่ปุ่น,ท่องเที่ยว,"483,317","1,016,462","1,193,193","918,696","1,010,828","1,122,220","1,212,125","1,349,111","1,433,770","266,426",
ญี่ปุ่น,ธุรกิจ, - , - , - , - , - ,"173,396","174,718","168,198","187,258","28,127",
ญี่ปุ่น,ประชุมของหน่วยงาน,"159,468","55,329","59,171","62,501","76,123","55,078","59,665","52,341","69,776","7,523",
ญี่ปุ่น,ประชุมเชิงธุรกิจ,"151,794","1,772","3,222","4,304","1,437",465,843,"1,780","1,968",180,
ญี่ปุ่น,ประชุมของสมาคม,"217,480","3,771","2,712","2,500","3,160","1,665","2,570","3,387","3,257",368,
ญี่ปุ่น,งานแสดงสินค้า/นิทรรศการ,"9,241","1,440","1,372","2,146","3,475","1,256","2,299","3,689","3,603",698,
ญี่ปุ่น,การศึกษา, - , - , - , - , - ,"6,192","7,746","9,046","9,432","1,442",
ญี่ปุ่น,การจ้างแรงงาน, - , - , - , - , - ,"13,832","15,214", - , - , - ,
ญี่ปุ่น,การขนส่ง, - , - , - , - , - ,"17,572","19,617","17,310", - , - ,
ญี่ปุ่น,การกีฬา, - , - , - , - , - , - , - ,"5,051","21,762","3,931",
ญี่ปุ่น,ทางการแพทย์, - , - , - , - , - , - , - ,"1,806","1,096",234,
ญี่ปุ่น,อื่น ๆ,"81,773","262,289","256,048","264,711","254,365","25,227","30,910","30,993","55,263","5,115",
เกาหลี,รวม,"1,001,105","1,153,457","1,292,335","1,109,429","1,359,211","1,449,617","1,698,608","1,785,147","1,880,465","262,313",
