ประเทศ,การจัดเตรียมการเดินทาง,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563
อาร์เจนตินา,เดินทางเป็นกลุ่ม,986,"2,777","3,034","3,886","4,256","6,010","6,811","5,612","4,307","1,860"
อาร์เจนตินา,เดินทางด้วยตัวเอง,"11,019","14,118","17,048","16,522","23,794","40,380","55,927","37,873","23,876","10,601"
บราซิล,รวม,"21,231","26,997","34,176","43,694","44,414","63,139","71,349","57,105","58,970","18,200"
บราซิล,เดินทางเป็นกลุ่ม,"2,566","5,978","5,856","10,215","8,160","9,790","8,591","7,422","9,234","2,959"
บราซิล,เดินทางด้วยตัวเอง,"18,665","21,019","28,320","33,479","36,254","53,349","62,758","49,683","49,736","15,241"
แคนาดา,รวม,"170,981","192,602","209,059","195,429","210,097","222,358","227,069","252,763","252,574","55,984"
แคนาดา,เดินทางเป็นกลุ่ม,"12,509","18,922","24,549","23,931","24,361","23,936","16,002","19,857","27,332","6,866"
แคนาดา,เดินทางด้วยตัวเอง,"158,472","173,680","184,510","171,498","185,736","198,422","211,067","232,906","225,242","49,118"
สหรัฐอเมริกา,รวม,"644,727","726,490","788,819","734,514","827,110","938,862","1,006,939","1,096,177","1,136,210","208,608"
สหรัฐอเมริกา,เดินทางเป็นกลุ่ม,"49,843","65,210","84,135","76,949","80,186","78,537","67,853","85,854","121,120","24,346"
สหรัฐอเมริกา,เดินทางด้วยตัวเอง,"594,884","661,280","704,684","657,565","746,924","860,325","939,086","1,010,323","1,015,090","184,262"
เอเชียใต้,รวม,"1,137,521","1,260,263","1,326,518","1,213,785","1,374,292","1,405,634","1,639,528","1,935,883","2,356,977","326,888"
เอเชียใต้,เดินทางเป็นกลุ่ม,"403,441","443,941","412,392","376,560","374,894","415,475","488,723","547,096","657,716","95,002"
เอเชียใต้,เดินทางด้วยตัวเอง,"734,080","816,322","914,126","837,225","999,398","990,159","1,150,805","1,388,787","1,699,261","231,886"
บังกลาเทศ,รวม,"68,024","75,354","84,902","90,440","109,033","103,616","125,580","125,809","139,622","22,913"
